"MiscUnit","CLAF","PRID","Drain","Layer","TopDep","BotDep","CFRAG","CFRAG_std","SDTO","SDTO_std","STPC","STPC_std","CLPC","CLPC_std","PSCL","BULK","BULK_std","TAWC","TAWC_std","CECS","CECS_std","TEB","TEB_std","BSAT","BSAT_std","ECEC","ECEC_std","CECc","CECc_std","ESP","ESP_std","ALSA","ALSA_std","PHAQ","PHAQ_std","TCEQ","TCEQ_std","GYPS","GYPS_std","ELCO","ELCO_std","TOTN","TOTN_std","CNrt","CNrt_std","ORGC","ORGC_std"
"N","LV","LV/D","W","D1",0,20,6,6.00,31,22.00,50,19.00,19,10.00,"M",1.47,0.16,18,5.00,16,6.00,13.00,7.00,81,20.00,14.00,6.00,49.00,18.00,1,1.00,0,0.00,6.10,0.70,0.00,0.00,1.00,0.00,0.70,0.60,1.65,0.80,11.00,3.00,15.72,7.82
"N","LV","LV/D","W","D2",20,40,7,8.00,29,23.00,45,18.00,26,14.00,"M",1.59,0.13,16,4.00,15,7.00,13.00,8.00,80,19.00,14.00,8.00,53.00,16.00,1,1.00,0,0.00,6.00,0.80,0.00,0.00,1.00,1.00,0.60,0.50,0.75,0.31,9.00,2.00,6.25,2.87
"N","LV","LV/D","W","D3",40,60,12,14.00,30,23.00,41,17.00,29,14.00,"M",1.64,0.13,15,4.00,17,8.00,16.00,10.00,82,19.00,17.00,9.00,54.00,16.00,2,1.00,0,0.00,6.10,1.00,0.00,0.00,1.00,1.00,0.80,0.70,0.56,0.24,8.00,2.00,3.68,1.77
"N","LV","LV/D","W","D4",60,80,14,15.00,31,24.00,40,17.00,29,14.00,"M",1.66,0.13,14,4.00,16,7.00,18.00,11.00,84,18.00,19.00,11.00,54.00,16.00,2,2.00,0,0.00,6.30,1.10,0.00,0.00,3.00,5.00,1.00,1.00,0.48,0.21,7.00,2.00,2.81,1.46
"N","LV","LV/D","W","D5",80,100,15,15.00,33,25.00,40,18.00,27,15.00,"M",1.68,0.14,15,4.00,15,7.00,19.00,13.00,86,17.00,20.00,12.00,54.00,18.00,2,1.00,0,0.00,6.40,1.20,0.00,0.00,3.00,4.00,1.40,1.60,0.45,0.20,7.00,2.00,2.25,1.18
"N","LV","LV/D","W","D6",100,150,15,15.00,34,25.00,40,18.00,26,15.00,"M",1.71,0.15,16,5.00,14,8.00,21.00,14.00,90,14.00,22.00,14.00,53.00,19.00,3,2.00,0,0.00,6.80,1.20,0.00,0.00,6.00,8.00,1.50,1.60,0.43,0.17,6.00,2.00,1.82,1.05
"N","LV","LV/D","W","D7",150,200,11,10.00,36,27.00,39,20.00,25,17.00,"M",1.73,0.16,16,5.00,13,8.00,23.00,15.00,96,6.00,24.00,15.00,53.00,20.00,2,2.00,0,0.00,7.00,1.10,181.00,105.00,11.00,10.00,1.90,1.80,0.42,0.22,6.00,1.00,1.46,0.91
"N","LVa","LVa/A","M","D1",0,20,11,10.00,43,23.00,41,18.00,16,10.00,"M",1.39,0.19,16,8.00,16,8.00,13.00,8.00,80,16.00,13.00,8.00,53.00,21.00,1,1.00,0,0.00,6.10,0.60,0.00,0.00,1.00,0.00,0.70,0.60,1.42,0.71,14.00,4.00,20.72,14.18
"N","LVa","LVa/A","M","D2",20,40,14,14.00,43,25.00,37,18.00,20,14.00,"M",1.56,0.19,17,6.00,13,8.00,12.00,9.00,83,18.00,12.00,9.00,55.00,18.00,2,1.00,0,0.00,6.20,0.70,0.00,0.00,1.00,0.00,0.60,0.50,0.62,0.30,10.00,4.00,5.92,2.83
"N","LVa","LVa/A","M","D3",40,60,11,9.00,42,25.00,33,17.00,25,16.00,"M",1.64,0.16,17,7.00,16,9.00,16.00,10.00,89,13.00,16.00,10.00,58.00,21.00,3,3.00,0,0.00,6.40,0.80,0.00,0.00,1.00,0.00,0.80,0.70,0.42,0.19,9.00,3.00,3.90,2.09
