pixel_vaue	description	cover_%	cell_count	square_km
12143	WD30012143	0.00	25041	20534
12144	WD30012144	0.00	12404	10217
12145	WD30012145	0.00	263	218
12146	WD30012146	0.00	2285	1894
12147	WD30012147	0.00	2057	1698
12148	WD20012148	0.00	926	785
12149	WD30012149	0.00	5275	4402
12150	WD30012150	0.00	688	574
12151	WD30012151	0.00	9363	7848
12152	WD30012152	0.00	3690	3084
12153	WD30012153	0.00	699	584
12154	WD30012154	0.00	3862	3228
12155	WD30012155	0.00	2477	2069
12156	WD30012156	0.00	120	101
12157	WD20012157	0.00	7326	5991
12158	WD20012158	0.00	877	742
12159	WD20012159	0.00	5438	4604
12160	WD10012160	0.00	6533	5509
12161	WD20012161	0.00	9904	8350
12162	WD20012162	0.00	6783	5721
12163	WD20012163	0.00	4522	3798
12164	WD20012164	0.00	1482	1233
12165	WD20012165	0.00	3507	2941
12166	WD10012166	0.00	2929	2466
12167	WD10012167	0.00	23384	19771
12168	WD10012168	0.00	10660	9055
12169	WD10012169	0.00	1319	1119
12170	WD20012170	0.00	7429	6185
12171	WD20012171	0.00	1090	901
12172	WD20012172	0.00	770	638
12173	WD20012173	0.00	1079	890
12174	WD20012174	0.00	4218	3464
12175	WD20012175	0.00	1384	1155
12176	WD30012176	0.00	674	561
12177	WD20012177	0.00	2216	1844
12178	WD20012178	0.00	9066	7507
12179	WD20012179	0.00	1378	1141
12180	WD30012180	0.00	754	627
12181	WD30012181	0.00	1833	1520
12182	WD30012182	0.00	6873	5706
12183	WD30012183	0.00	3855	3204
12184	WD30012184	0.00	1705	1416
12185	WD30012185	0.00	3098	2564
12186	WD20012186	0.00	625	521
12187	WD30012187	0.00	5251	4351
12188	WD20012188	0.00	1263	1042
12189	WD20012189	0.01	37702	30953
12190	WD20012190	0.00	1795	1479
12191	WD20012191	0.00	3796	3124
12192	WD20012192	0.00	1685	1379
12193	WD20012193	0.00	2062	1691
12194	WD20012194	0.00	1187	970
12195	WD20012195	0.00	536	441
12196	WD30012196	0.00	2973	2489
12197	WD20012197	0.00	1192	983
12198	WD30012198	0.00	5539	4621
12199	WD30012199	0.00	6800	5661
12200	WD30012200	0.00	927	773
12201	WD30012201	0.00	2516	2096
12202	WD30012202	0.00	4902	4095
12203	WD30012203	0.00	1847	1538
12204	WD30012204	0.00	2819	2346
12205	WD30012205	0.00	342	284
12206	WD30012206	0.00	1332	1111
12207	WD30012207	0.00	11954	10035
12208	WD20012208	0.00	1080	894
12209	WD30012209	0.00	7155	5982
12210	WD30012210	0.00	1303	1087
12211	WD30012211	0.00	995	834
12212	WD30012212	0.00	1885	1582
12213	WD30012213	0.00	23716	19888
12214	WD10012214	0.00	3156	2657
12215	WD30012215	0.00	2814	2354
12216	WD30012216	0.00	1696	1418
12217	WD30012217	0.00	15468	12949
12218	WD30012218	0.00	252	211
12219	WD20012219	0.00	690	570
12220	WD30012220	0.00	6984	5835
12221	WD30012221	0.00	1760	1475
12222	WD30012222	0.00	2892	2422
12223	WD30012223	0.00	8071	6749
12224	WD30012224	0.00	1017	852
12225	WD30012225	0.00	971	813
12226	WD30012226	0.00	829	695
12227	WD30012227	0.00	2647	2222
12228	WD30012228	0.00	10288	8642
12229	WD30012229	0.00	1228	1031
12230	WD10012230	0.00	582	495
12231	WD10012231	0.00	6583	5541
12232	WD30012232	0.00	6564	5473
12233	WD30012233	0.00	967	806
12234	WD30012234	0.00	18822	15632
12235	WD30012235	0.00	2457	2038
12236	WD30012236	0.00	2387	1978
12237	WD30012237	0.00	5164	4273
12238	WD30012238	0.00	2341	1934
12239	WD30012239	0.00	1087	899
12240	WD30012240	0.00	1059	874
12241	WD20012241	0.02	110803	86085
12242	WD20012242	0.03	171805	125963
12243	WD50012243	0.00	22464	11988
12244	WD30012244	0.00	14184	8346
12245	WD20012245	0.00	21291	14038
12246	WD20012246	0.01	61312	40268
12247	WD20012247	0.01	53477	32534
12248	WD20012248	0.00	26219	14388
12249	WD30012249	0.00	21015	14335
12250	WD50012250	0.00	7582	3774
12251	WD30012251	0.00	11115	8500
12252	WD20012252	0.01	86045	64137
12253	WD20012253	0.01	72667	53250
12254	WD20012254	0.00	10602	8023
12255	WD30012255	0.00	8928	6807
12256	WD20012256	0.00	13055	9495
12257	WD30012257	0.03	186297	141730
12258	WD20012258	0.00	13082	9945
12259	WD30012259	0.00	2917	2258
12260	WD30012260	0.00	12700	9889
12261	WD20012261	0.00	28395	21992
12262	WD30012262	0.01	60501	46972
12263	WD30012263	0.00	16852	13260
12264	WD30012264	0.01	35718	27587
12265	WD30012265	0.00	17257	13210
12266	WD30012266	0.01	69296	52188
12267	WD20012267	0.00	29117	21161
12268	WD30012268	0.00	23905	17342
12269	WD20012269	0.00	16023	11903
12270	WD30012270	0.00	16074	11906
12271	WD20012271	0.00	21613	16527
12272	WD20012272	0.00	21326	16607
12273	WD30012273	0.00	14147	10772
12274	WD30012274	0.00	10087	7724
12275	WD30012275	0.00	8922	6797
12276	WD30012276	0.01	73792	55670
12277	WD30012277	0.00	18963	14261
12278	WD30012278	0.00	26487	19143
12279	WD30012279	0.01	33336	25142
12280	WD30012280	0.00	6328	4697
12281	WD30012281	0.00	6314	4761
12282	WD30012282	0.00	4986	3762
12283	WD30012283	0.01	31097	24295
12284	WD30012284	0.00	6181	4615
12285	WD30012285	0.00	22142	15880
12286	WD30012286	0.00	28314	20613
12287	WD30012287	0.00	30420	22267
12288	WD30012288	0.00	11586	8387
12289	WD30012289	0.00	4076	2970
12290	WD30012290	0.02	148308	107235
12291	WD30012291	0.02	110942	80448
12292	WD30012292	0.01	96307	66883
12293	WD30012293	0.02	113818	79722
12294	WD30012294	0.00	16617	13014
12295	WD30012295	0.00	14094	9645
12296	WD30012296	0.00	19686	14413
12297	WD30012297	0.00	14540	10805
12298	WD30012298	0.00	12967	9279
12299	WD20012299	0.01	89900	62724
12300	WD30012300	0.00	9153	6341
12301	WD30012301	0.01	78138	53668
12302	WD30012302	0.01	49164	33251
12303	WD30012303	0.01	57561	38788
12304	WD30012304	0.00	13174	9109
12305	WD20012305	0.01	45876	34972
12306	WD30012306	0.00	15397	10775
12307	WD20012307	0.01	41049	28397
12308	WD20012308	0.00	17872	12174
12309	WD20012309	0.00	9512	6652
12310	WD30012310	0.00	13309	8939
12311	WD20012311	0.00	16662	11217
12312	WD20012312	0.00	17876	12031
12313	WD30012313	0.00	7739	5287
12314	WD30012314	0.00	23474	15912
12315	WD30012315	0.00	17025	11600
12316	WD30012316	0.00	11992	9410
12317	WD20012317	0.00	29197	19746
12318	WD20012318	0.01	83258	54942
12319	WD20012319	0.00	25080	16685
